序号,中文全称,英文全称,金融许可证机构编码,机构类型,简称
55,抚顺银行股份有限公司,"BANK OF FUSHUN CO.,LTD.",B0125H321040001,城市商业银行,抚顺银行
56,阜新银行股份有限公司,"BANK OF FUXIN CO.,LTD.",B0129H221090001,城市商业银行,阜新银行
57,葫芦岛银行股份有限公司,"BANK OF HULUDAO CO.,LTD.",B0132H221140001,城市商业银行,葫芦岛银行
58,辽阳银行股份有限公司,"BANK OF LIAOYANG CO.,LTD.",B0130H221100001,城市商业银行,辽阳银行
59,盘锦银行股份有限公司,"BANK OF PANJIN CO.,LTD.",B0131H221110001,城市商业银行,盘锦银行
60,铁岭银行股份有限公司,"BANK OF TIELING CO.,LTD",B0267H221120001,城市商业银行,铁岭银行
61,营口沿海银行股份有限公司,"Yingkou Coastal Bank Co.,Ltd.",B1126H221080001,城市商业银行,营口沿海银行
62,营口银行股份有限公司,"BANK OF YINGKOU CO.,LTD.",B0128H221080001,城市商业银行,营口银行
63,吉林银行股份有限公司,"BANK OF JILIN CO.,LTD.",B0302H222010001,城市商业银行,吉林银行
64,哈尔滨银行股份有限公司,"HARBIN BANK CO.,LTD",B0306H223010001,城市商业银行,哈尔滨银行
65,龙江银行股份有限公司,LONGJIANG BANK CORPORATION,B1056H223010001,城市商业银行,龙江银行
66,上海银行股份有限公司,"Bank of Shanghai Co.,LTD",B0139H231000001,城市商业银行,上海银行
67,江苏银行股份有限公司,"BANK OF JIANGSU CO.,LTD",B0243H232010001,城市商业银行,江苏银行
68,南京银行股份有限公司,"BANK OF NANJING CO.,LTD.",B0140H232010001,城市商业银行,南京银行
69,苏州银行股份有限公司,"BANK OF SUZHOU CO.,LTD",BO236H232050001,城市商业银行,苏州银行
70,江苏长江商业银行股份有限公司,"JIANGSU CHANGJIANG COMMERCIAL BANKCO.,LTD.",B0347H232120001,城市商业银行,江苏长江商业银行
71,杭州银行股份有限公司,"BANK OF HANGZHOU CO.,LTD",B0151H233010001,城市商业银行,杭州银行
