address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
上海市静安区广中路977号,静安区,上海市,1,31.286171,121.459506,中国农业银行(上海马戏城支行),上海市,61f634f6abaa53056a49f386,,61f634f6abaa53056a49f386,农业银行
上海市江宁路383号,静安区,上海市,1,31.240092,121.459169,中国农业银行(上海江宁支行),上海市,c8e8f633f648b26daa0dd882,(021)62552057,c8e8f633f648b26daa0dd882,农业银行
上海市静安区洛川东路339-349号,静安区,上海市,1,31.276241,121.467719,中国农业银行(上海共和支行),上海市,adf11ec78d1526929f09f707,,adf11ec78d1526929f09f707,农业银行
上海市乌鲁木齐北路207号,静安区,上海市,1,31.228854,121.449073,中国农业银行(上海静安寺支行),上海市,6fddd7fdb0f12e7e3417dc82,,6fddd7fdb0f12e7e3417dc82,农业银行
上海市静安区威海路349号,静安区,上海市,1,31.233361,121.471299,中国农业银行(上海威海路支行),上海市,2ad32cc350caf48e9c95de82,,2ad32cc350caf48e9c95de82,农业银行
上海市静安区天潼路768号,静安区,上海市,1,31.249487,121.48552,中国农业银行(上海天潼支行),上海市,a1418eb432484e7eebe582fb,(021)63932388,a1418eb432484e7eebe582fb,农业银行
上海市静安区高平路199号101室底层,静安区,上海市,1,31.287487,121.435614,中国农业银行(上海沪太支行),上海市,8ab0dfc489acfe6bd9eced86,,8ab0dfc489acfe6bd9eced86,农业银行
上海市静安区运城路277号,静安区,上海市,1,31.27697,121.445548,中国农业银行(上海大宁支行),上海市,15e1e85ee9d4bfa3581093ed,,15e1e85ee9d4bfa3581093ed,农业银行
上海市静安区石门二路321号,静安区,上海市,1,31.242345,121.465948,中国农业银行(上海石门二路支行),上海市,beabdbf48fa7b39a7069d35a,,beabdbf48fa7b39a7069d35a,农业银行
上海市静安区安远路793至795号,静安区,上海市,1,31.241263,121.440032,中国农业银行(上海安远路支行),上海市,ddeac84d74a416f240afe639,,ddeac84d74a416f240afe639,农业银行
上海市静安区万航渡路777号,静安区,上海市,1,31.234152,121.437406,中国农业银行(上海曹家渡支行),上海市,f633606a25f2544f0a69d982,,f633606a25f2544f0a69d982,农业银行
上海市静安区永兴路105号,静安区,上海市,1,31.260584,121.481471,中国农业银行(上海宝山路支行),上海市,e116be541f1ae37ac91b95ed,,e116be541f1ae37ac91b95ed,农业银行
上海市静安区天目西路488号长安大厦1层,静安区,上海市,1,31.251681,121.45885,中国农业银行(上海闸北支行营业室),上海市,8fa14fc3adf30f6ff7eafcfb,,8fa14fc3adf30f6ff7eafcfb,农业银行
上海市静安区七浦路303号七浦路服装批发市场F1,静安区,上海市,1,31.250733,121.486484,中国农业银行24小时自助银行,上海市,071805455cd9471579b55cee,,071805455cd9471579b55cee,农业银行
西康路830,静安区,上海市,1,31.244157,121.450465,中国农业银行24小时自助银行,上海市,30120def4e90990832f71d71,,30120def4e90990832f71d71,农业银行
乌鲁木齐北路207～209号,静安区,上海市,1,31.228764,121.449044,中国农业银行24小时自助银行(上海静安寺支行),上海市,8be8870a6c75ed95b35c6a8a,,8be8870a6c75ed95b35c6a8a,农业银行
上海市静安区联富商业广场天潼路618号,静安区,上海市,1,31.250137,121.48819,中国农业银行ATM(联富商业广场天潼路),上海市,a33b3019c16094e39d9d6886,,a33b3019c16094e39d9d6886,农业银行
上海市静安区灵石楼(灵石路南),静安区,上海市,1,31.281621,121.436959,中国农业银行24小时自助银行(运城路),上海市,2cf72a8ec68951bb9ff7794b,,2cf72a8ec68951bb9ff7794b,农业银行
上海市静安区七浦路488号白马高级服装市场F1,静安区,上海市,1,31.251599,121.484545,中国农业银行24小时自助银行服务(白马服装市场),上海市,28a66990b14fc35a79b55c71,,28a66990b14fc35a79b55c71,农业银行
上海市静安区第二中级人民法院中山北路567号,静安区,上海市,1,31.2761,121.467543,中国农业银行24小时自助银行(上海共和支行),上海市,a4c03061fef39cfec4f02502,,a4c03061fef39cfec4f02502,农业银行
"上海市静安区广中路977号(近共和新路,地铁1号线马戏城站)",静安区,上海市,1,31.286075,121.459735,中国农业银行24小时自助银行(上海闸北马戏城支行),上海市,d890e17629b290cf7adbd2d5,,d890e17629b290cf7adbd2d5,农业银行
江宁路373号达安大厦,静安区,上海市,1,31.240074,121.459189,中国农业银行24小时自助银行(上海江宁支行),上海市,a18f2bc9fe0c8a1588db73b5,,a18f2bc9fe0c8a1588db73b5,农业银行
上海市静安区威海路168号,静安区,上海市,1,31.233312,121.471278,中国农业银行24小时自助银行(上海威海路支行),上海市,f1ea8ef47b86ebed3586f4f0,,f1ea8ef47b86ebed3586f4f0,农业银行
高平路199号,静安区,上海市,1,31.287655,121.435563,中国农业银行24小时自助银行(上海沪太支行),上海市,ab6a87df9e2944559dec2bf6,,ab6a87df9e2944559dec2bf6,农业银行
天目西路488号,静安区,上海市,1,31.251685,121.4585,中国农业银行24小时自助银行服务(不夜城支行),上海市,3899191bf427ccd140e192a6,,3899191bf427ccd140e192a6,农业银行
安远路793-795号,静安区,上海市,1,31.241277,121.440019,中国农业银行24小时自助银行(上海安远路支行),上海市,7cc6a2ac13f81b624e3a59d9,,7cc6a2ac13f81b624e3a59d9,农业银行
上海市静安区万航渡路789号,静安区,上海市,1,31.234234,121.437394,中国农业银行24小时自助银行(上海曹家渡支行),上海市,850815e15ac939e543e19204,,850815e15ac939e543e19204,农业银行
上海市静安区石门二路321号,静安区,上海市,1,31.242216,121.465981,中国农业银行24小时自助银行(石门二路支行),上海市,6ed3083aef3733c92b3a9fd2,,6ed3083aef3733c92b3a9fd2,农业银行
永兴路103-107号,静安区,上海市,1,31.260565,121.481668,中国农业银行24小时自助银行(上海宝山路支行),上海市,15d7ccc8104f19644f3a5999,,15d7ccc8104f19644f3a5999,农业银行
上海市静安区运城路277号,静安区,上海市,1,31.277042,121.445463,中国农业银行24小时自助银行服务(运城路),上海市,3a0a78bd7a14cc84631809f8,,3a0a78bd7a14cc84631809f8,农业银行
